segment_id,jam_lunes_00,jam_lunes_01,jam_lunes_02,jam_lunes_03,jam_lunes_04,jam_lunes_05,jam_lunes_06,jam_lunes_07,jam_lunes_08,jam_lunes_09,jam_lunes_10,jam_lunes_11,jam_lunes_12,jam_lunes_13,jam_lunes_14,jam_lunes_15,jam_lunes_16,jam_lunes_17,jam_lunes_18,jam_lunes_19,jam_lunes_20,jam_lunes_21,jam_lunes_22,jam_lunes_23,jam_viernes_00,jam_viernes_01,jam_viernes_02,jam_viernes_03,jam_viernes_04,jam_viernes_05,jam_viernes_06,jam_viernes_07,jam_viernes_08,jam_viernes_09,jam_viernes_10,jam_viernes_11,jam_viernes_12,jam_viernes_13,jam_viernes_14,jam_viernes_15,jam_viernes_16,jam_viernes_17,jam_viernes_18,jam_viernes_19,jam_viernes_20,jam_viernes_21,jam_viernes_22,jam_viernes_23,jam_sabado_00,jam_sabado_01,jam_sabado_02,jam_sabado_03,jam_sabado_04,jam_sabado_05,jam_sabado_06,jam_sabado_07,jam_sabado_08,jam_sabado_09,jam_sabado_10,jam_sabado_11,jam_sabado_12,jam_sabado_13,jam_sabado_14,jam_sabado_15,jam_sabado_16,jam_sabado_17,jam_sabado_18,jam_sabado_19,jam_sabado_20,jam_sabado_21,jam_sabado_22,jam_sabado_23
10,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
11,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
12,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
13,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
14,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
15,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
16,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
17,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,0.8075341811488308,2.78773335286921,10.591549235931536,7.093937578023497,-0.25008011839207833,-0.24010015608833674,0.43511651793292805,4.040411772628382,3.7137050459510164,-0.26690795585569754,1.8736608402194121,1.7951441387035338,2.2777538616799102,1.7339983214490542,-0.16328305670128737,1.7725950013011809,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,3.6622561512110425,5.1837546272062776,3.0316123448485013,-0.20535772827790888,2.658518698779376,0.7448659515041381,1.0762215952999727,2.488945869380559,2.9646246746511133,-0.21327965841547714,-0.28186449873596986,0.2396177164863695,1.6536431503818256,1.4282942878895901,-0.26222176866423386,5.838848994033945,-0.13407412591238244,3.8063983114224573,-0.1626967559080597,2.7043794560750327,7.0702463707249015,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,2.1003526153116185,1.1917839027948607,3.353462652226273,3.1741201694006116,1.4192468051000586,0.5173281115378827,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,0.22464734302631215,2.0475393319071693,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,8.65549696203575
18,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
19,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
20,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
21,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
22,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
23,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,2.493480459133071,4.606588986338578,-0.22670121917911945,3.5108894071187193,7.41074938755322,4.781935069007253,5.961793037495839,1.450811479451167,-0.2865552790537227,-0.26690795585569754,4.198034073348932,2.0436632522256946,4.872053828057328,1.9754249601415939,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,10.273951883311943,-0.14805918111002436,-0.14428653016365686,1.1809839965269195,4.822235491557763,8.906759209742606,1.3855760203888783,-0.2512723708864698,1.1283281584244829,-0.29353451360029786,4.369450804324222,1.2383398041588158,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,0.5862717293126063,2.948814946123834,10.079384504574202,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,4.9025112657757886,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,4.073003180069382,3.6979881148023153,-0.30319835509860776,3.870996282384369,1.3058123789648826,1.913223939145346,1.8722827458920772,5.960890440788817,13.782423306524617,0.9549363355535561,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,1.8797226814119181
24,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
25,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
26,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
27,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
